Index,Competition,Date,Home_Team,Away_Team,Home_Score,Away_Score,Season,Place,Year,Month,Atletico_Goals,Opponent_Goals,Goal_Difference,Match_Status
526,Spain Liga,2014-09-20,Atletico Madrid,Celta Vigo,2,2,2014/15,Home,2014,9,2,2,0,Draw
527,UEFA Champions League,2014-09-16,Olympiakos,Atletico Madrid,3,2,2014/15,Away,2014,9,2,3,-1,Loss
528,Spain Liga,2014-09-13,Real Madrid,Atletico Madrid,1,2,2014/15,Away,2014,9,2,1,1,Win
529,Spain Liga,2014-08-30,Atletico Madrid,Eibar,2,1,2014/15,Home,2014,8,2,1,1,Win
530,Spain Liga,2014-08-25,Rayo Vallecano,Atletico Madrid,0,0,2014/15,Away,2014,8,0,0,0,Draw
531,UEFA Champions League,2014-05-24,Real Madrid,Atletico Madrid,4,1,2013/14,Away,2014,5,1,4,-3,Loss
532,Spain Liga,2014-05-17,Barcelona,Atletico Madrid,1,1,2013/14,Away,2014,5,1,1,0,Draw
533,Spain Liga,2014-05-11,Atletico Madrid,Malaga,1,1,2013/14,Home,2014,5,1,1,0,Draw
534,Spain Liga,2014-05-04,Levante,Atletico Madrid,2,0,2013/14,Away,2014,5,0,2,-2,Loss
535,UEFA Champions League,2014-04-30,Chelsea FC,Atletico Madrid,1,3,2013/14,Away,2014,4,3,1,2,Win
536,Spain Liga,2014-04-27,Valencia,Atletico Madrid,0,1,2013/14,Away,2014,4,1,0,1,Win
